"","TD","PIB","TD_cp","PIB_cp"
"2001-03-01",16.7,77308,NA,NA
"2001-06-01",14.7,81150,-11.98,4.97
"2001-09-01",14.73,83299,0.23,2.65
"2001-12-01",13.8,83757,-6.33,0.55
"2002-03-01",16.43,84655,19.08,1.07
"2002-06-01",15.8,84575,-3.85,-0.09
"2002-09-01",15.3,89918,-3.16,6.32
"2002-12-01",15.07,93607,-1.53,4.1
"2003-03-01",15.2,95856,0.88,2.4
"2003-06-01",14,102638,-7.89,7.08
"2003-09-01",14.33,101907,2.38,-0.71
"2003-12-01",13.07,104975,-8.84,3.01
"2004-03-01",15.33,107490,17.35,2.4
"2004-06-01",14.13,114017,-7.83,6.07
"2004-09-01",12.83,115757,-9.2,1.53
"2004-12-01",12.07,117469,-5.97,1.48
"2005-03-01",13.43,121072,11.33,3.07
"2005-06-01",11.97,125094,-10.92,3.32
"2005-09-01",11.43,128573,-4.46,2.78
"2005-12-01",10.2,139513,-10.79,8.51
"2006-03-01",12.57,128139,23.2,-8.15
"2006-06-01",11.5,131159,-8.49,2.36
"2006-09-01",12.7,139234,10.43,6.16
"2006-12-01",11.37,150584,-10.5,8.15
"2007-03-01",12.87,136935,13.2,-9.06
"2007-06-01",11.2,141467,-12.95,3.31
"2007-09-01",10.9,147915,-2.68,4.56
"2007-12-01",9.77,160406,-10.4,8.44
"2008-03-01",12.1,143605,23.89,-10.47
"2008-06-01",11.03,148095,-8.82,3.13
"2008-09-01",11.4,153198,3.32,3.45
"2008-12-01",10.5,160935,-7.89,5.05
"2009-03-01",12.9,144845,22.86,-10
"2009-06-01",11.7,149170,-9.3,2.99
"2009-09-01",12.17,153973,3.99,3.22
"2009-12-01",11.3,165148,-7.12,7.26
"2010-03-01",13,149518,15.04,-9.46
"2010-06-01",11.93,155250,-8.21,3.83
"2010-09-01",11.5,159849,-3.63,2.96
"2010-12-01",10.7,175175,-6.96,9.59
"2011-03-01",12.47,159272,16.51,-9.08
"2011-06-01",11.1,166678,-10.96,4.65
"2011-09-01",10.43,173426,-6.01,4.05
"2011-12-01",9.33,187521,-10.54,8.13
"2012-03-01",11.6,168691,24.29,-10.04
"2012-06-01",10.53,175168,-9.2,3.84
"2012-09-01",10.17,177504,-3.48,1.33
"2012-12-01",9.23,192345,-9.18,8.36
"2013-03-01",11.37,173207,23.1,-9.95
"2013-06-01",9.6,183504,-15.54,5.94
"2013-09-01",9.4,186639,-2.08,1.71
"2013-12-01",8.23,202951,-12.41,8.74
"2014-03-01",10.5,183056,27.53,-9.8
"2014-06-01",9,189595,-14.29,3.57
"2014-09-01",8.87,194699,-1.48,2.69
"2014-12-01",8.1,214239,-8.65,10.04
"2015-03-01",9.87,187557,21.81,-12.45
"2015-06-01",8.87,195324,-10.14,4.14
"2015-09-01",8.97,202094,1.13,3.47
"2015-12-01",8.03,219716,-10.41,8.72
"2016-03-01",10.67,192934,32.78,-12.19
"2016-06-01",8.9,200414,-16.56,3.88
"2016-09-01",9.1,204202,2.25,1.89
"2016-12-01",8.17,222935,-10.26,9.17
"2017-03-01",10.63,196598,30.2,-11.81
"2017-06-01",9,203902,-15.36,3.72
"2017-09-01",9.33,207750,3.7,1.89
"2017-12-01",8.53,226916,-8.57,9.23
"2018-03-01",10.67,200828,25,-11.5
"2018-06-01",9.43,209651,-11.56,4.39
"2018-09-01",9.47,213274,0.35,1.73
